8,0
96,1
0,2
27,3
36,4
62,5
55,6
41,7
65,8
60,9
99,10
74,11
66,12
96,13
37,14
30,15
74,16
95,17
11,18
28,19
91,20
39,21
54,22
55,23
73,24
90,25
42,26
31,27
97,28
22,29
27,30
86,31
69,32
29,33
61,34
54,35
4,36
57,37
86,38
54,39
20,40
8,41
18,42
97,43
90,44
74,45
7,46
48,47
53,48
94,49
13,50
96,51
55,52
0,53
43,54
77,55
22,56
11,57
59,58
48,59
63,60
8,61
77,62
29,63
22,64
48,65
60,66
45,67
65,68
8,69
1,70
33,71
53,72
45,73
64,74
12,75
53,76
7,77
50,78
11,79
50,80
91,81
62,82
59,83
13,84
2,85
87,86
20,87
93,88
22,89
63,90
87,91
58,92
3,93
67,94
42,95
11,96
47,97
84,98
90,99
