θ_0,θ_1,Hours,Salary
692.77,9.99,98.13020739848386,1682.6090714602822
692.77,9.99,99.10714233541923,1692.36627086877
692.77,9.99,100.08407727235459,1702.1234702772579
692.77,9.99,101.06101220928996,1711.8806696857457
692.77,9.99,102.03794714622532,1721.6378690942338
692.77,9.99,103.01488208316069,1731.3950685027216
692.77,9.99,103.99181702009605,1741.1522679112095
692.77,9.99,104.96875195703142,1750.9094673196973
692.77,9.99,105.94568689396678,1760.6666667281854
692.77,9.99,106.92262183090214,1770.4238661366733
692.77,9.99,107.89955676783751,1780.1810655451611
692.77,9.99,108.87649170477287,1789.938264953649
692.77,9.99,109.85342664170824,1799.6954643621368
692.77,9.99,110.8303615786436,1809.452663770625
692.77,9.99,111.80729651557897,1819.2098631791127
692.77,9.99,112.78423145251433,1828.9670625876006
692.77,9.99,113.7611663894497,1838.7242619960884
692.77,9.99,114.73810132638506,1848.4814614045765
692.77,9.99,115.71503626332043,1858.2386608130644
692.77,9.99,116.6919712002558,1867.9958602215522
692.77,9.99,117.66890613719116,1877.75305963004
692.77,9.99,118.64584107412652,1887.5102590385281
692.77,9.99,119.62277601106189,1897.267458447016
692.77,9.99,120.59971094799725,1907.0246578555038
692.77,9.99,121.57664588493262,1916.7818572639917
692.77,9.99,122.55358082186798,1926.5390566724798
692.77,9.99,123.53051575880335,1936.2962560809676
692.77,9.99,124.50745069573871,1946.0534554894555
692.77,9.99,125.48438563267408,1955.8106548979433
692.77,9.99,126.46132056960944,1965.5678543064314
692.77,9.99,127.4382555065448,1975.3250537149195
692.77,9.99,128.41519044348018,1985.0822531234073
692.77,9.99,129.39212538041556,1994.8394525318954
692.77,9.99,130.36906031735094,2004.5966519403835
692.77,9.99,131.34599525428632,2014.3538513488716
692.77,9.99,132.3229301912217,2024.1110507573596
692.77,9.99,133.29986512815708,2033.8682501658477
692.77,9.99,134.27680006509246,2043.6254495743358
692.77,9.99,135.25373500202784,2053.382648982824
692.77,9.99,136.23066993896322,2063.1398483913117
692.77,9.99,137.2076048758986,2072.8970477998
692.77,9.99,138.18453981283398,2082.654247208288
692.77,9.99,139.16147474976935,2092.4114466167757
692.77,9.99,140.13840968670473,2102.168646025264
692.77,9.99,141.1153446236401,2111.925845433752
692.77,9.99,142.0922795605755,2121.68304484224
692.77,9.99,143.06921449751087,2131.440244250728
692.77,9.99,144.04614943444625,2141.1974436592163
692.77,9.99,145.02308437138163,2150.954643067704
692.77,9.99,146.000019308317,2160.7118424761925
692.77,9.99,146.9769542452524,2170.4690418846803
692.77,9.99,147.95388918218777,2180.226241293168
692.77,9.99,148.93082411912314,2189.9834407016565
692.77,9.99,149.90775905605852,2199.7406401101443
692.77,9.99,150.8846939929939,2209.4978395186326
692.77,9.99,151.86162892992928,2219.2550389271205
692.77,9.99,152.83856386686466,2229.012238335609
692.77,9.99,153.81549880380004,2238.7694377440966
692.77,9.99,154.79243374073542,2248.5266371525845
692.77,9.99,155.7693686776708,2258.283836561073
692.77,9.99,156.74630361460618,2268.0410359695607
692.77,9.99,157.72323855154156,2277.798235378049
692.77,9.99,158.70017348847693,2287.555434786537
692.77,9.99,159.6771084254123,2297.312634195025
692.77,9.99,160.6540433623477,2307.069833603513
692.77,9.99,161.63097829928307,2316.827033012001
692.77,9.99,162.60791323621845,2326.584232420489
692.77,9.99,163.58484817315383,2336.341431828977
692.77,9.99,164.5617831100892,2346.0986312374653
692.77,9.99,165.5387180470246,2355.855830645953
692.77,9.99,166.51565298395997,2365.6130300544414
692.77,9.99,167.49258792089535,2375.3702294629293
692.77,9.99,168.46952285783073,2385.127428871417
692.77,9.99,169.4464577947661,2394.8846282799054
692.77,9.99,170.42339273170148,2404.6418276883933
692.77,9.99,171.40032766863686,2414.3990270968816
692.77,9.99,172.37726260557224,2424.1562265053694
692.77,9.99,173.35419754250762,2433.9134259138577
692.77,9.99,174.331132479443,2443.6706253223456
692.77,9.99,175.30806741637838,2453.427824730834
692.77,9.99,176.28500235331376,2463.1850241393217
692.77,9.99,177.26193729024914,2472.9422235478096
692.77,9.99,178.23887222718452,2482.699422956298
692.77,9.99,179.2158071641199,2492.4566223647857
692.77,9.99,180.19274210105527,2502.213821773274
692.77,9.99,181.16967703799065,2511.971021181762
692.77,9.99,182.14661197492603,2521.72822059025
692.77,9.99,183.1235469118614,2531.485419998738
692.77,9.99,184.1004818487968,2541.242619407226
692.77,9.99,185.07741678573217,2550.999818815714
692.77,9.99,186.05435172266755,2560.757018224202
692.77,9.99,187.03128665960293,2570.5142176326904
692.77,9.99,188.0082215965383,2580.271417041178
692.77,9.99,188.98515653347368,2590.0286164496665
692.77,9.99,189.96209147040906,2599.7858158581544
692.77,9.99,190.93902640734444,2609.543015266642
692.77,9.99,191.91596134427982,2619.3002146751305
692.77,9.99,192.8928962812152,2629.0574140836184
692.77,9.99,193.86983121815058,2638.8146134921067
692.77,9.99,194.84676615508596,2648.5718129005945
692.77,9.99,195.82370109202134,2658.329012309083
692.77,9.99,196.80063602895672,2668.0862117175707
692.77,9.99,197.7775709658921,2677.843411126059
692.77,9.99,198.75450590282747,2687.600610534547
692.77,9.99,199.73144083976285,2697.3578099430347
692.77,9.99,200.70837577669823,2707.115009351523
692.77,9.99,201.6853107136336,2716.872208760011
692.77,9.99,202.662245650569,2726.629408168499
692.77,9.99,203.63918058750437,2736.386607576987
692.77,9.99,204.61611552443975,2746.1438069854753
692.77,9.99,205.59305046137513,2755.901006393963
692.77,9.99,206.5699853983105,2765.658205802451
692.77,9.99,207.5469203352459,2775.4154052109393
692.77,9.99,208.52385527218127,2785.172604619427
692.77,9.99,209.50079020911664,2794.9298040279155
692.77,9.99,210.47772514605202,2804.6870034364033
692.77,9.99,211.4546600829874,2814.4442028448916
692.77,9.99,212.43159501992278,2824.2014022533795
692.77,9.99,213.40852995685816,2833.9586016618673
692.77,9.99,214.38546489379354,2843.7158010703556
692.77,9.99,215.36239983072892,2853.4730004788435
692.77,9.99,216.3393347676643,2863.2301998873318
692.77,9.99,217.31626970459968,2872.9873992958196
692.77,9.99,218.29320464153506,2882.744598704308
692.77,9.99,219.27013957847043,2892.5017981127958
692.77,9.99,220.2470745154058,2902.258997521284
692.77,9.99,221.2240094523412,2912.016196929772
692.77,9.99,222.20094438927657,2921.7733963382598
692.77,9.99,223.17787932621195,2931.530595746748
692.77,9.99,224.15481426314733,2941.287795155236
692.77,9.99,225.1317492000827,2951.0449945637242
692.77,9.99,226.1086841370181,2960.802193972212
692.77,9.99,227.08561907395347,2970.5593933807004
692.77,9.99,228.06255401088885,2980.3165927891882
692.77,9.99,229.03948894782422,2990.073792197676
692.77,9.99,230.0164238847596,2999.8309916061644
692.77,9.99,230.99335882169498,3009.5881910146522
692.77,9.99,231.97029375863036,3019.3453904231405
692.77,9.99,232.94722869556574,3029.1025898316284
692.77,9.99,233.92416363250112,3038.8597892401167
692.77,9.99,234.9010985694365,3048.6169886486045
692.77,9.99,235.87803350637188,3058.3741880570924
692.77,9.99,236.85496844330726,3068.1313874655807
692.77,9.99,237.83190338024264,3077.8885868740686
692.77,9.99,238.80883831717802,3087.645786282557
692.77,9.99,239.7857732541134,3097.4029856910447
692.77,9.99,240.76270819104877,3107.160185099533
692.77,9.99,241.73964312798415,3116.917384508021
692.77,9.99,242.71657806491953,3126.674583916509
692.77,9.99,243.6935130018549,3136.431783324997
692.77,9.99,244.6704479387903,3146.188982733485
692.77,9.99,245.64738287572567,3155.946182141973
692.77,9.99,246.62431781266105,3165.703381550461
692.77,9.99,247.60125274959643,3175.4605809589493
692.77,9.99,248.5781876865318,3185.217780367437
692.77,9.99,249.55512262346718,3194.9749797759255
692.77,9.99,250.53205756040256,3204.7321791844133
692.77,9.99,251.50899249733794,3214.489378592901
692.77,9.99,252.48592743427332,3224.2465780013895
692.77,9.99,253.4628623712087,3234.0037774098773
692.77,9.99,254.43979730814408,3243.7609768183656
692.77,9.99,255.41673224507946,3253.5181762268535
692.77,9.99,256.39366718201484,3263.275375635342
692.77,9.99,257.3706021189502,3273.0325750438296
692.77,9.99,258.3475370558856,3282.7897744523175
692.77,9.99,259.324471992821,3292.546973860806
692.77,9.99,260.30140692975635,3302.3041732692936
692.77,9.99,261.27834186669173,3312.061372677782
692.77,9.99,262.2552768036271,3321.81857208627
692.77,9.99,263.2322117405625,3331.575771494758
692.77,9.99,264.20914667749787,3341.332970903246
692.77,9.99,265.18608161443325,3351.0901703117343
692.77,9.99,266.1630165513686,3360.847369720222
692.77,9.99,267.139951488304,3370.60456912871
692.77,9.99,268.1168864252394,3380.3617685371983
